Frequency (Hz)	Level (dB)
2436.000000	-89.073982
2440.000000	-84.707474
2444.000000	-83.877388
2448.000000	-81.426476
2452.000000	-82.239235
2456.000000	-85.985207
2460.000000	-88.459503
2464.000000	-90.294426
2468.000000	-85.405113
2472.000000	-87.351799
2476.000000	-94.157555
2480.000000	-91.876038
2484.000000	-88.918350
2488.000000	-85.478493
2492.000000	-84.044983
2496.000000	-80.750122
2500.000000	-78.622765
2504.000000	-83.358192
2508.000000	-84.718742
2512.000000	-86.817978
2516.000000	-85.662567
2520.000000	-83.469315
2524.000000	-86.801605
2528.000000	-90.973404
2532.000000	-89.573204
2536.000000	-88.142410
2540.000000	-86.008408
2544.000000	-87.229416
2548.000000	-91.754799
2552.000000	-83.995773
2556.000000	-82.047501
2560.000000	-82.818977
2564.000000	-85.011749
2568.000000	-86.250847
2572.000000	-85.474396
2576.000000	-86.271431
2580.000000	-89.851730
2584.000000	-88.680038
2588.000000	-86.286087
2592.000000	-86.332329
2596.000000	-87.468864
2600.000000	-91.052643
2604.000000	-86.282089
2608.000000	-84.453400
2612.000000	-86.200790
2616.000000	-90.870827
2620.000000	-89.594803
2624.000000	-87.971954
2628.000000	-90.534775
2632.000000	-87.669563
2636.000000	-87.524849
2640.000000	-84.624985
2644.000000	-79.317017
2648.000000	-79.977509
2652.000000	-81.848824
2656.000000	-84.415718
2660.000000	-84.500633
2664.000000	-83.777977
2668.000000	-84.924355
2672.000000	-88.362465
2676.000000	-90.988029
2680.000000	-88.874077
2684.000000	-86.511993
2688.000000	-85.292213
2692.000000	-84.485435
2696.000000	-84.392090
2700.000000	-86.157455
2704.000000	-87.082542
2708.000000	-85.714371
2712.000000	-85.856590
2716.000000	-86.247070
2720.000000	-87.944168
2724.000000	-90.620865
2728.000000	-90.387299
2732.000000	-87.644394
2736.000000	-86.685356
2740.000000	-87.075798
2744.000000	-84.658142
2748.000000	-85.607956
2752.000000	-91.198280
2756.000000	-89.957451
2760.000000	-88.365250
2764.000000	-88.384277
2768.000000	-86.574158
2772.000000	-84.411324
2776.000000	-86.153404
2780.000000	-88.847023
2784.000000	-89.072632
2788.000000	-88.343376
2792.000000	-88.890732
2796.000000	-84.489265
2800.000000	-83.719238
2804.000000	-87.177460
2808.000000	-86.478226
2812.000000	-91.585793
2816.000000	-86.433098
2820.000000	-89.409760
2824.000000	-88.543434
2828.000000	-87.275558
2832.000000	-84.851860
2836.000000	-85.642723
2840.000000	-84.075073
2844.000000	-84.288399
2848.000000	-81.698570
2852.000000	-84.306938
2856.000000	-89.520287
2860.000000	-88.489326
2864.000000	-87.015564
2868.000000	-88.422783
2872.000000	-89.098503
2876.000000	-89.174141
2880.000000	-86.614120
2884.000000	-83.400398
2888.000000	-82.201782
2892.000000	-84.532028
2896.000000	-89.161621
2900.000000	-89.537552
2904.000000	-90.399422
2908.000000	-87.628487
2912.000000	-85.952423
2916.000000	-89.925224
2920.000000	-89.350327
2924.000000	-87.149666
2928.000000	-86.904732
2932.000000	-88.070755
2936.000000	-85.993507
2940.000000	-82.492599
2944.000000	-82.313652
2948.000000	-85.466988
2952.000000	-87.681717
2956.000000	-91.485977
2960.000000	-86.661720
2964.000000	-89.102280
2968.000000	-90.211746
2972.000000	-87.872704
2976.000000	-88.808029
2980.000000	-89.627220
2984.000000	-86.311897
2988.000000	-85.176994
2992.000000	-85.254837
2996.000000	-85.711754
3000.000000	-87.050690
3004.000000	-87.189064
3008.000000	-89.946999
3012.000000	-88.180786
3016.000000	-89.228294
3020.000000	-86.946846
3024.000000	-90.995422
3028.000000	-87.406158
3032.000000	-88.216393
3036.000000	-86.113152
3040.000000	-86.526825
3044.000000	-91.105148
3048.000000	-94.614754
3052.000000	-90.426720
3056.000000	-86.847656
3060.000000	-89.632530
3064.000000	-89.291344
3068.000000	-87.205818
3072.000000	-86.494843
3076.000000	-87.279938
3080.000000	-83.585533
3084.000000	-82.233910
3088.000000	-82.014038
3092.000000	-84.642982
3096.000000	-84.253677
3100.000000	-85.440590
3104.000000	-88.828484
3108.000000	-91.143494
3112.000000	-94.729958
3116.000000	-90.763618
3120.000000	-88.322914
3124.000000	-87.815193
3128.000000	-86.923737
3132.000000	-86.460800
3136.000000	-87.568893
3140.000000	-89.319221
3144.000000	-88.532837
3148.000000	-86.305969
3152.000000	-83.533821
3156.000000	-83.169594
3160.000000	-84.973534
3164.000000	-92.313118
3168.000000	-89.134186
3172.000000	-85.607643
3176.000000	-85.930634
3180.000000	-88.449242
3184.000000	-88.950943
3188.000000	-88.142944
3192.000000	-89.754128
3196.000000	-86.427658
3200.000000	-85.979950
3204.000000	-87.516449
3208.000000	-91.705666
3212.000000	-91.247574
3216.000000	-89.998573
3220.000000	-88.414726
3224.000000	-83.694031
3228.000000	-84.801773
3232.000000	-87.154922
3236.000000	-89.382187
3240.000000	-89.703827
3244.000000	-87.610359
3248.000000	-86.730957
3252.000000	-85.862915
3256.000000	-85.416306
3260.000000	-84.857124
3264.000000	-90.116989
3268.000000	-89.484207
3272.000000	-86.475769
3276.000000	-84.918343
3280.000000	-85.802269
3284.000000	-87.504318
3288.000000	-88.514305
3292.000000	-88.367401
3296.000000	-90.498177
3300.000000	-92.247726
3304.000000	-90.085541
3308.000000	-92.723724
3312.000000	-88.509781
3316.000000	-86.659851
3320.000000	-87.102531
3324.000000	-91.781860
3328.000000	-87.370026
3332.000000	-85.367683
3336.000000	-85.998688
3340.000000	-86.198174
3344.000000	-87.881371
3348.000000	-87.027977
3352.000000	-87.122360
3356.000000	-88.637093
3360.000000	-87.526108
3364.000000	-85.118736
3368.000000	-85.595848
3372.000000	-88.208244
3376.000000	-87.470627
3380.000000	-84.138718
3384.000000	-86.422653
3388.000000	-87.612831
3392.000000	-89.451012
3396.000000	-91.899513
3400.000000	-89.428329
3404.000000	-89.445480
3408.000000	-88.582832
3412.000000	-91.952385
3416.000000	-88.992722
3420.000000	-87.841957
3424.000000	-89.271255
3428.000000	-89.805992
3432.000000	-88.649742
3436.000000	-89.590248
3440.000000	-91.310875
3444.000000	-97.484276
3448.000000	-93.542534
3452.000000	-88.171066
3456.000000	-86.030907
3460.000000	-87.717453
3464.000000	-89.166313
3468.000000	-91.108467
3472.000000	-88.232323
3476.000000	-86.498207
3480.000000	-85.079330
3484.000000	-87.874214
3488.000000	-91.238876
3492.000000	-92.278824
3496.000000	-90.506317
3500.000000	-87.202675
3504.000000	-86.574547
3508.000000	-86.255974
3512.000000	-88.465500
3516.000000	-89.515175
3520.000000	-85.195328
3524.000000	-86.001450
3528.000000	-84.885597
3532.000000	-84.872803
3536.000000	-87.629898
3540.000000	-91.668068
3544.000000	-90.272476
3548.000000	-84.516739
3552.000000	-86.107887
3556.000000	-92.910690
3560.000000	-91.832611
3564.000000	-91.532166
3568.000000	-89.951523
3572.000000	-85.426407
3576.000000	-86.678825
3580.000000	-90.055077
3584.000000	-93.673103
3588.000000	-90.068115
3592.000000	-89.260422
3596.000000	-90.305107
3600.000000	-90.808502
3604.000000	-90.997147
3608.000000	-88.842339
3612.000000	-89.736580
3616.000000	-89.653778
3620.000000	-89.876930
3624.000000	-87.000061
3628.000000	-86.522202
3632.000000	-89.479034
3636.000000	-88.930222
3640.000000	-91.600426
3644.000000	-87.502441
3648.000000	-91.455856
3652.000000	-90.126892
3656.000000	-88.472672
3660.000000	-90.613441
3664.000000	-88.624527
3668.000000	-88.123741
3672.000000	-88.344391
3676.000000	-87.755714
3680.000000	-88.277611
3684.000000	-85.616302
3688.000000	-84.828087
3692.000000	-85.748924
3696.000000	-86.292717
3700.000000	-87.251900
3704.000000	-93.267494
3708.000000	-91.785423
3712.000000	-85.338081
3716.000000	-85.316994
3720.000000	-87.656357
3724.000000	-88.129234
3728.000000	-90.486748
3732.000000	-92.000015
3736.000000	-88.741005
3740.000000	-86.533638
3744.000000	-85.429375
3748.000000	-90.086021
3752.000000	-96.183807
3756.000000	-90.993027
3760.000000	-85.197624
3764.000000	-84.518959
3768.000000	-86.822243
3772.000000	-85.668175
3776.000000	-85.781967
3780.000000	-87.716881
3784.000000	-86.309998
3788.000000	-84.894310
3792.000000	-86.751602
3796.000000	-90.257187
3800.000000	-90.769844
3804.000000	-90.448952
3808.000000	-90.792870
3812.000000	-89.038208
3816.000000	-90.072220
3820.000000	-91.711639
3824.000000	-93.555817
3828.000000	-91.785370
3832.000000	-89.198730
3836.000000	-88.868225
3840.000000	-86.567039
3844.000000	-87.061363
3848.000000	-91.621460
3852.000000	-88.046585
3856.000000	-88.973740
3860.000000	-87.902863
3864.000000	-86.130798
3868.000000	-86.482307
3872.000000	-88.155006
3876.000000	-91.232414
3880.000000	-87.461662
3884.000000	-87.489372
3888.000000	-89.796043
3892.000000	-90.641899
3896.000000	-92.321724
3900.000000	-89.593590
3904.000000	-87.385414
3908.000000	-90.376045
3912.000000	-90.708221
3916.000000	-90.747360
3920.000000	-88.524879
3924.000000	-85.838837
3928.000000	-88.579918
3932.000000	-93.962669
3936.000000	-90.324188
3940.000000	-89.708267
3944.000000	-89.247986
3948.000000	-94.497993
3952.000000	-88.200050
3956.000000	-86.580360
3960.000000	-87.837738
3964.000000	-93.042397
3968.000000	-96.048630
3972.000000	-91.886009
3976.000000	-88.179398
3980.000000	-88.741196
3984.000000	-88.512703
3988.000000	-85.168503
3992.000000	-86.017174
3996.000000	-89.283646
4000.000000	-90.511681
4004.000000	-91.971123
4008.000000	-91.440231
4012.000000	-90.963280
4016.000000	-90.349457
4020.000000	-89.647194
4024.000000	-89.975365
4028.000000	-87.665672
4032.000000	-86.560532
4036.000000	-89.707336
4040.000000	-90.297264
4044.000000	-89.337761
4048.000000	-87.332489
4052.000000	-87.648483
4056.000000	-88.059326
4060.000000	-87.174278
4064.000000	-86.456314
4068.000000	-84.109528
4072.000000	-85.948837
4076.000000	-88.108734
4080.000000	-90.040703
4084.000000	-88.949463
4088.000000	-87.638031
4092.000000	-93.743225
4096.000000	-92.712532
4100.000000	-91.120377
4104.000000	-98.920868
4108.000000	-92.641464
4112.000000	-92.203156
4116.000000	-89.487068
4120.000000	-89.323158
4124.000000	-90.662201
4128.000000	-90.275757
4132.000000	-91.179092
4136.000000	-89.387177
4140.000000	-89.452530
4144.000000	-92.983185
4148.000000	-89.271500
4152.000000	-88.265343
4156.000000	-87.762619
4160.000000	-89.224503
4164.000000	-91.437790
4168.000000	-90.993141
4172.000000	-90.824448
4176.000000	-89.480362
4180.000000	-89.009521
4184.000000	-85.951248
4188.000000	-87.384377
4192.000000	-89.201645
4196.000000	-90.696091
4200.000000	-90.385567
4204.000000	-88.762360
4208.000000	-87.366783
4212.000000	-84.671913
4216.000000	-85.264961
4220.000000	-88.639900
4224.000000	-91.573395
4228.000000	-94.405106
4232.000000	-88.761330
4236.000000	-87.667915
4240.000000	-88.300034
4244.000000	-90.294090
4248.000000	-87.542320
4252.000000	-86.053978
4256.000000	-85.372124
4260.000000	-85.853928
4264.000000	-86.330513
4268.000000	-88.950882
4272.000000	-94.683952
4276.000000	-91.047104
4280.000000	-88.855400
4284.000000	-87.740921
4288.000000	-87.912392
4292.000000	-88.423599
4296.000000	-89.446663
4300.000000	-89.700645
4304.000000	-87.898880
4308.000000	-92.993172
4312.000000	-92.977501
4316.000000	-91.553444
4320.000000	-98.040665
4324.000000	-89.706329
4328.000000	-85.316460
4332.000000	-85.357414
4336.000000	-85.818123
4340.000000	-89.256447
4344.000000	-90.812096
4348.000000	-89.141167
4352.000000	-94.011307
4356.000000	-90.303398
4360.000000	-87.247368
4364.000000	-85.830795
4368.000000	-88.141655
4372.000000	-89.707275
4376.000000	-91.798897
4380.000000	-86.539719
4384.000000	-87.161018
4388.000000	-91.402863
4392.000000	-91.323456
4396.000000	-93.412712
4400.000000	-88.635468
4404.000000	-88.874321
4408.000000	-88.564445
4412.000000	-88.721451
4416.000000	-87.112541
4420.000000	-86.193794
4424.000000	-90.344795
4428.000000	-89.408348
4432.000000	-91.286598
4436.000000	-92.751350
4440.000000	-90.051933
4444.000000	-88.203087
4448.000000	-91.652847
4452.000000	-89.772942
4456.000000	-92.249664
4460.000000	-90.335403
4464.000000	-91.557526
4468.000000	-91.220566
4472.000000	-88.143715
4476.000000	-89.887169
4480.000000	-90.823982
4484.000000	-91.471443
4488.000000	-95.728302
4492.000000	-96.453087
4496.000000	-89.675568
4500.000000	-86.849182
4504.000000	-87.068932
4508.000000	-86.486046
4512.000000	-86.793724
